132.38,-12.15,-719
132.40,-32.82,267
132.41,-11.66,-786
132.44,-11.50,173
132.44,-32.24,296
132.45,-32.56,276
132.59,-31.97,298
132.65,-10.55,188
132.68,-31.97,297
132.70,-11.20,-122
132.72,-11.51,-316
132.74,-11.29,-221
132.77,-32.56,285
132.85,-10.76,77
133.20,-10.28,78
133.27,-32.67,267
133.32,-11.29,-328
133.39,-10.45,-37
133.47,-11.17,-325
133.52,-10.54,-117
133.59,-10.56,-150
133.62,-32.40,17
133.65,-11.42,-465
133.66,-32.60,170
133.70,-11.67,-596
133.78,-10.75,-285
134.05,-32.60,15
134.10,-32.82,123
134.11,-32.95,170
134.15,-11.28,-564
134.15,-33.69,220
134.17,-33.60,192
134.18,-11.62,-669
134.18,-32.61,-2
134.19,-12.10,-728
134.26,-32.71,-12
134.41,-34.28,208
134.41,-34.52,191
134.53,-11.62,-735
134.53,-33.40,205
134.53,-34.84,176
134.67,-34.12,227
134.76,-33.89,245
134.83,-11.57,-844
134.94,-12.14,-1030
134.98,-12.12,-1053
135.06,-12.18,-1058
135.06,-33.84,244
135.13,-33.94,240
135.13,-34.13,229
135.18,-34.36,195
135.24,-34.79,170
135.25,-12.18,-1077
135.38,-35.57,157
135.39,-35.13,165
135.47,-35.87,148
135.49,-11.34,-1023
135.50,-11.70,-1112
135.57,-11.50,-936
135.70,-14.50,-49
135.71,-14.58,-35
135.71,-14.66,-20
135.72,-14.58,-33
135.75,-14.63,-15
135.75,-15.11,144
135.77,-14.61,-13
135.78,-12.14,95
135.84,-15.14,167
135.87,-14.64,25
135.89,-14.86,98
135.90,-13.48,-65
135.92,-13.62,-58
135.93,-13.33,-82
135.93,-15.19,187
135.96,-11.91,69
135.96,-34.67,51
135.97,-12.21,349
135.99,-11.72,-330
136.14,-13.72,-64
136.16,-12.33,515
136.17,-35.57,134
136.25,-11.46,-1009
136.28,-11.74,-368
136.28,-36.39,133
136.31,-34.77,79
136.33,-11.21,-967
136.35,-10.70,-864
136.36,-13.57,-103
136.43,-15.30,254
136.44,-14.60,-30
136.45,-13.55,-119
136.46,-13.30,-344
136.47,-13.58,-114
136.47,-14.32,90
136.48,-15.22,295
136.49,-14.60,153
136.51,-34.37,26
136.55,-13.59,-122
136.60,-33.91,-38
136.65,-13.10,-364
136.65,-36.66,126
136.66,-13.30,-354
136.66,-14.82,215
136.67,-15.35,331
136.67,-33.99,-35
136.68,-13.55,-153
136.68,-35.55,95
136.72,-13.10,-335
136.72,-13.43,-200
136.74,-14.80,-36
136.75,-12.78,-445
136.76,-11.65,-656
136.80,-13.18,-309
136.82,-12.21,-596
136.83,-10.29,-811
136.85,-33.90,-70
136.88,-34.29,-21
136.96,-33.81,-101
137.20,-34.60,-36
137.22,-34.57,-37
137.24,-35.40,51
137.26,-33.89,-120
137.29,-36.29,134
137.30,-36.59,122
137.38,-34.46,-66
137.43,-34.87,-91
137.46,-15.76,338
137.53,-35.43,24
137.54,-15.45,299
137.56,-15.16,248
137.56,-33.49,-163
137.61,-33.44,-162
137.67,-16.16,355
137.67,-33.50,-156
137.69,-36.75,115
137.70,-35.40,-32
137.71,-35.50,-33
137.74,-33.50,-153
137.74,-35.42,-16
137.79,-32.67,-99
137.80,-35.92,125
137.85,-32.81,-127
137.85,-32.95,-139
137.85,-35.47,-31
137.89,-16.31,374
137.91,-34.57,-165
138.02,-33.10,-140
138.02,-33.13,-140
138.03,-35.57,-33
138.04,-33.13,-147
138.09,-34.30,-243
138.13,-35.35,-62
138.17,-34.50,-185
138.24,-35.94,98
138.26,-34.68,-153
138.26,-34.89,-116
138.28,-34.62,-164
138.33,-16.16,382
138.33,-35.19,-86
138.48,-16.32,412
138.70,-16.52,445
138.71,-35.76,71
139.03,-35.82,66
139.10,-35.84,65
139.13,-16.35,451
139.14,-37.35,101
139.20,-35.87,64
139.24,-36.84,93
139.33,-35.92,63
139.38,-36.70,82
139.38,-37.48,96
139.43,-16.17,390
139.43,-36.28,65
139.44,-17.16,79
139.46,-36.54,73
139.57,-17.25,54
139.61,-16.68,185
139.61,-37.52,93
139.63,-17.20,118
139.70,-37.80,88
139.76,-17.45,17
139.88,-16.23,333
140.07,-37.61,88
140.14,-37.82,85
140.17,-37.88,84
140.20,-17.53,26
140.24,-38.26,79
140.31,-16.73,310
140.34,-37.96,81
140.35,-16.42,347
140.35,-16.92,263
140.39,-17.38,83
140.43,-38.83,62
140.45,-17.24,142
140.61,-38.42,72
140.64,-17.15,197
140.72,-38.73,67
140.82,-16.40,393
141.12,-11.30,28
141.14,-16.32,427
141.15,-38.48,64
141.17,-12.55,10
141.17,-16.30,414
141.17,-16.52,440
141.18,-15.80,393
141.20,-10.80,-16
141.20,-10.90,-15
141.21,-10.90,-14
141.23,-13.60,105
141.25,-13.87,146
141.25,-15.45,359
141.26,-14.49,252
141.27,-12.17,41
141.29,-10.40,-18
141.29,-13.36,60
141.29,-14.18,205
141.29,-14.83,297
141.31,-15.14,330
141.36,-11.93,69
141.38,-10.50,-38
141.43,-38.73,57
141.46,-13.20,13
141.48,-12.69,-11
141.59,-11.65,104
141.60,-10.38,45
141.61,-11.36,139
141.64,-10.65,122
141.73,-10.20,-81
141.73,-12.68,-66
141.79,-38.63,50
142.09,-10.76,107
142.10,-11.29,94
142.16,-38.72,40
142.39,-38.64,27
142.58,-10.42,860
142.63,-38.73,10
142.82,-10.90,515
142.86,-38.79,-13
142.87,-10.56,692
142.89,-11.11,409
142.96,-11.63,341
142.99,-11.47,364
143.18,-38.90,-41
143.18,-39.64,44
143.24,-10.50,624
143.28,-11.60,360
143.30,-10.88,435
143.30,-39.14,-4
143.32,-40.36,34
143.40,-12.44,-136
143.45,-12.40,91
143.47,-40.74,27
143.49,-12.33,-126
143.54,-12.22,-119
143.56,-11.58,177
143.62,-12.62,-349
143.62,-38.93,-68
143.63,-12.10,-144
143.65,-39.55,97
143.67,-12.74,-385
143.69,-12.49,-405
143.69,-13.31,-325
143.70,-12.70,-394
143.71,-13.99,-34
143.73,-14.18,-40
143.77,-38.79,-97
143.81,-10.51,130
143.81,-11.73,-359
143.81,-14.23,-68
143.86,-40.13,-12
143.89,-13.35,-447
143.89,-13.78,-105
143.89,-14.30,-99
143.92,-12.51,-480
144.06,-14.36,-107
144.20,-14.15,-218
144.23,-40.74,45
144.32,-41.42,11
144.41,-41.15,24
